frame,feature_idx,value
0,0,-20.755291
0,1,-22.724854
0,2,-22.991083
0,3,-23.013128
0,4,-23.02344
0,5,-23.025797
0,6,-23.025629
0,7,-23.02554
0,8,-23.025696
0,9,-23.025805
0,10,-23.025845
0,11,-23.025837
0,12,-23.025831
0,13,-23.025839
0,14,-23.025848
0,15,-23.025848
0,16,-23.025846
0,17,-23.025848
0,18,-23.02585
0,19,-23.02585
0,20,-23.02585
0,21,-23.02585
0,22,-23.02585
0,23,-23.02585
0,24,-23.02585
0,25,-23.02585
0,26,-23.02585
0,27,-23.02585
0,28,-23.02585
0,29,-23.02585
0,30,-23.02585
0,31,-23.02585
0,32,-23.02585
0,33,-23.02585
0,34,-23.02585
0,35,-23.02585
0,36,-23.02585
0,37,-23.02585
0,38,-23.02585
0,39,-23.02585
0,40,-23.02585
0,41,-23.02585
0,42,-23.02585
0,43,-23.02585
0,44,-23.02585
0,45,-23.02585
0,46,-23.02585
0,47,-23.02585
0,48,-23.02585
0,49,-23.02585
0,50,-23.02585
0,51,-23.02585
0,52,-23.02585
0,53,-23.02585
0,54,-23.02585
0,55,-23.02585
0,56,-23.02585
0,57,-23.02585
0,58,-23.02585
0,59,-23.02585
0,60,-23.02585
0,61,-23.02585
0,62,-23.02585
0,63,-23.02585
0,64,-23.02585
0,65,-23.02585
0,66,-23.02585
0,67,-23.02585
0,68,-23.02585
0,69,-23.02585
0,70,-23.02585
0,71,-23.02585
0,72,-23.02585
0,73,-23.02585
0,74,-23.02585
0,75,-23.02585
0,76,-23.02585
0,77,-23.02585
0,78,-23.02585
0,79,-23.02585
1,0,-20.755291
1,1,-22.724854
1,2,-22.991083
1,3,-23.013128
1,4,-23.02344
1,5,-23.025797
1,6,-23.025629
1,7,-23.02554
1,8,-23.025696
1,9,-23.025805
1,10,-23.025845
1,11,-23.025837
1,12,-23.025831
1,13,-23.025839
1,14,-23.025848
1,15,-23.025848
1,16,-23.025846
1,17,-23.025848
1,18,-23.02585
1,19,-23.02585
1,20,-23.02585
1,21,-23.02585
1,22,-23.02585
1,23,-23.02585
1,24,-23.02585
1,25,-23.02585
1,26,-23.02585
1,27,-23.02585
1,28,-23.02585
1,29,-23.02585
1,30,-23.02585
1,31,-23.02585
1,32,-23.02585
1,33,-23.02585
1,34,-23.02585
1,35,-23.02585
1,36,-23.02585
1,37,-23.02585
1,38,-23.02585
1,39,-23.02585
1,40,-23.02585
1,41,-23.02585
1,42,-23.02585
1,43,-23.02585
1,44,-23.02585
1,45,-23.02585
1,46,-23.02585
1,47,-23.02585
1,48,-23.02585
1,49,-23.02585
1,50,-23.02585
1,51,-23.02585
1,52,-23.02585
1,53,-23.02585
1,54,-23.02585
1,55,-23.02585
1,56,-23.02585
1,57,-23.02585
1,58,-23.02585
1,59,-23.02585
1,60,-23.02585
1,61,-23.02585
1,62,-23.02585
1,63,-23.02585
1,64,-23.02585
1,65,-23.02585
1,66,-23.02585
1,67,-23.02585
1,68,-23.02585
1,69,-23.02585
1,70,-23.02585
1,71,-23.02585
1,72,-23.02585
1,73,-23.02585
1,74,-23.02585
1,75,-23.02585
1,76,-23.02585
1,77,-23.02585
1,78,-23.02585
1,79,-23.02585
2,0,-20.755291
2,1,-22.724854
2,2,-22.991083
2,3,-23.013128
2,4,-23.02344
2,5,-23.025797
2,6,-23.025629
2,7,-23.02554
2,8,-23.025696
2,9,-23.025805
2,10,-23.025845
2,11,-23.025837
2,12,-23.025831
2,13,-23.025839
2,14,-23.025848
2,15,-23.025848
2,16,-23.025846
2,17,-23.025848
2,18,-23.02585
2,19,-23.02585
2,20,-23.02585
2,21,-23.02585
2,22,-23.02585
2,23,-23.02585
2,24,-23.02585
2,25,-23.02585
2,26,-23.02585
2,27,-23.02585
2,28,-23.02585
2,29,-23.02585
2,30,-23.02585
2,31,-23.02585
2,32,-23.02585
2,33,-23.02585
2,34,-23.02585
2,35,-23.02585
2,36,-23.02585
2,37,-23.02585
2,38,-23.02585
2,39,-23.02585
2,40,-23.02585
2,41,-23.02585
2,42,-23.02585
2,43,-23.02585
2,44,-23.02585
2,45,-23.02585
2,46,-23.02585
2,47,-23.02585
2,48,-23.02585
2,49,-23.02585
2,50,-23.02585
2,51,-23.02585
2,52,-23.02585
2,53,-23.02585
2,54,-23.02585
2,55,-23.02585
2,56,-23.02585
2,57,-23.02585
2,58,-23.02585
2,59,-23.02585
2,60,-23.02585
2,61,-23.02585
2,62,-23.02585
2,63,-23.02585
2,64,-23.02585
2,65,-23.02585
2,66,-23.02585
2,67,-23.02585
2,68,-23.02585
2,69,-23.02585
2,70,-23.02585
2,71,-23.02585
2,72,-23.02585
2,73,-23.02585
2,74,-23.02585
2,75,-23.02585
2,76,-23.02585
2,77,-23.02585
2,78,-23.02585
2,79,-23.02585
3,0,-20.820166
3,1,-22.81315
3,2,-23.020327
3,3,-22.995785
3,4,-22.983479
3,5,-22.985853
3,6,-22.99801
3,7,-23.005098
3,8,-23.008396
3,9,-23.011814
3,10,-23.015436
3,11,-23.017643
3,12,-23.018736
3,13,-23.01993
3,14,-23.021269
3,15,-23.021889
3,16,-23.022497
3,17,-23.023258
3,18,-23.023651
3,19,-23.023788
3,20,-23.02371
3,21,-23.024176
3,22,-23.024145
3,23,-23.024256
3,24,-23.02468
3,25,-23.024845
3,26,-23.025076
3,27,-23.024723
3,28,-23.02392
3,29,-23.023586
3,30,-23.023806
3,31,-23.024893
3,32,-23.025179
3,33,-23.018904
3,34,-22.999447
3,35,-22.968874
3,36,-22.94006
3,37,-22.935827
3,38,-22.949133
3,39,-22.967249
3,40,-22.982153
3,41,-22.998192
3,42,-23.00279
3,43,-23.00153
3,44,-22.9866
3,45,-22.95774
3,46,-22.941523
3,47,-22.955725
3,48,-22.986412
3,49,-23.007595
3,50,-23.016186
3,51,-23.014042
3,52,-22.959978
3,53,-22.849133
3,54,-22.808676
3,55,-22.862707
3,56,-22.881456
3,57,-22.813078
3,58,-22.611282
3,59,-22.364223
3,60,-22.481308
3,61,-22.859192
3,62,-23.00577
3,63,-23.022957
3,64,-23.025597
3,65,-23.025776
3,66,-23.025839
3,67,-23.025845
3,68,-23.025848
3,69,-23.025848
3,70,-23.02585
3,71,-23.025848
3,72,-23.025806
3,73,-23.02519
3,74,-23.01685
3,75,-22.873358
3,76,-21.995924
3,77,-21.791777
3,78,-22.30207
3,79,-22.720327
4,0,-18.40376
4,1,-17.803522
4,2,-18.317163
4,3,-19.045973
4,4,-19.907362
4,5,-21.541292
4,6,-21.304466
4,7,-21.603592
4,8,-19.418888
4,9,-18.330486
4,10,-17.83198
4,11,-17.704844
4,12,-17.842457
4,13,-18.143135
4,14,-18.543152
4,15,-19.10616
4,16,-20.248575
4,17,-21.944746
4,18,-22.376379
4,19,-22.580076
4,20,-22.68935
4,21,-22.82247
4,22,-22.84103
4,23,-22.869713
4,24,-22.894674
4,25,-22.88469
4,26,-22.891832
4,27,-22.811262
4,28,-22.722599
4,29,-22.420597
4,30,-21.668772
4,31,-20.682152
4,32,-17.32425
4,33,-15.944994
4,34,-16.046032
4,35,-17.200195
4,36,-15.920765
4,37,-15.085402
4,38,-16.224026
4,39,-18.630894
4,40,-20.395563
4,41,-21.497633
4,42,-21.206278
4,43,-18.752344
4,44,-16.114038
4,45,-15.801168
4,46,-15.130128
4,47,-14.495423
4,48,-14.529543
4,49,-13.883013
4,50,-15.904778
4,51,-18.697496
4,52,-16.822277
4,53,-14.059797
4,54,-13.691937
4,55,-14.616705
4,56,-16.015394
4,57,-16.085777
4,58,-14.508177
4,59,-14.783809
4,60,-17.775946
4,61,-18.804655
4,62,-21.973917
4,63,-22.873772
4,64,-23.00177
4,65,-23.022333
4,66,-23.025297
4,67,-23.025255
4,68,-23.02262
4,69,-23.018305
4,70,-23.02214
4,71,-23.022095
4,72,-23.007566
4,73,-22.98447
4,74,-22.32217
4,75,-17.867323
4,76,-15.584419
4,77,-11.502081
4,78,-11.778302
4,79,-17.18635
5,0,-17.372284
5,1,-16.454683
5,2,-16.697365
5,3,-16.76182
5,4,-16.85565
5,5,-17.212477
5,6,-17.22863
5,7,-16.669893
5,8,-17.00651
5,9,-17.555845
5,10,-15.547411
5,11,-15.665328
5,12,-16.808863
5,13,-16.367817
5,14,-16.403961
5,15,-16.207657
5,16,-16.709229
5,17,-17.142157
5,18,-17.874325
5,19,-19.038298
5,20,-17.780685
5,21,-17.111586
5,22,-16.729937
5,23,-15.990762
5,24,-15.792417
5,25,-16.506706
5,26,-15.91847
5,27,-14.63553
5,28,-14.544494
5,29,-14.079473
5,30,-13.210469
5,31,-13.295473
5,32,-14.733583
5,33,-13.036426
5,34,-12.619663
5,35,-12.714388
5,36,-11.423798
5,37,-12.210979
5,38,-14.103297
5,39,-12.158678
5,40,-11.467646
5,41,-12.560336
5,42,-12.960477
5,43,-12.3071785
5,44,-12.044192
5,45,-10.686824
5,46,-11.201672
5,47,-11.931153
5,48,-11.73308
5,49,-11.306085
5,50,-12.260813
5,51,-12.441751
5,52,-12.657296
5,53,-11.649733
5,54,-10.724339
5,55,-10.869185
5,56,-10.948112
5,57,-10.652814
5,58,-11.198312
5,59,-12.113607
5,60,-13.156631
5,61,-13.091605
5,62,-15.260426
5,63,-15.189531
5,64,-14.582407
5,65,-13.100741
5,66,-13.935682
5,67,-13.787363
5,68,-14.067337
5,69,-12.745252
5,70,-11.355726
5,71,-12.526946
5,72,-11.537949
5,73,-11.112867
5,74,-12.711287
5,75,-14.92833
5,76,-14.2198
5,77,-8.31826
